Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";Revenue;"Cost of Revenue";"Gross Profit";"Operating Expenses";"Selling, General & Administrative";"Research & Development";"Depreciation & Amortization";"Operating Income (Loss)";"Non-Operating Income (Loss)";"Interest Expense, Net";"Pretax Income (Loss), Adj.";"Abnormal Gains (Losses)";"Pretax Income (Loss)";"Income Tax (Expense) Benefit, Net";"Income (Loss) from Continuing Operations";"Net Extraordinary Gains (Losses)";"Net Income";"Net Income (Common)"
A;45846;USD;2016;FY;2016-10-31;2016-12-20;2018-12-20;326000000;329000000;4202000000;-2005000000;2197000000;-1582000000;-1253000000;-329000000;;615000000;-71000000;-61000000;544000000;;544000000;-82000000;462000000;;462000000;462000000
A;45846;USD;2017;FY;2017-10-31;2017-12-21;2018-12-20;322000000;326000000;4472000000;-2063000000;2409000000;-1568000000;-1229000000;-339000000;;841000000;-38000000;-57000000;803000000;;803000000;-119000000;684000000;;684000000;684000000
A;45846;USD;2018;FY;2018-10-31;2018-12-20;2020-12-18;321000000;325000000;4914000000;-2234000000;2680000000;-1776000000;-1389000000;-387000000;;904000000;42000000;-37000000;946000000;;946000000;-630000000;316000000;;316000000;316000000
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;5163000000;-2358000000;2805000000;-1864000000;-1460000000;-404000000;;941000000;-22000000;-38000000;919000000;;919000000;152000000;1071000000;;1071000000;1071000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2021-12-17;309000000;312000000;5339000000;-2502000000;2837000000;-1991000000;-1496000000;-495000000;;846000000;-4000000;-70000000;842000000;;842000000;-123000000;719000000;;719000000;719000000
AA;367153;USD;2015;FY;2015-12-31;2016-03-02;2017-03-15;182471195;182000000;11199000000;-9039000000;2160000000;-1202000000;-353000000;-69000000;-780000000;958000000;-312000000;-270000000;646000000;-983000000;-337000000;-402000000;-739000000;;-863000000;-863000000
AA;367153;USD;2016;FY;2016-12-31;2017-02-03;2019-02-26;183000000;183000000;9318000000;-7877000000;1441000000;-1107000000;-356000000;-33000000;-718000000;334000000;-178000000;-243000000;156000000;-318000000;-162000000;-184000000;-346000000;;-400000000;-400000000
AA;367153;USD;2017;FY;2017-12-31;2018-02-26;2019-02-26;184000000;187000000;11652000000;-8991000000;2661000000;-1062000000;-280000000;-32000000;-750000000;1599000000;-131000000;-104000000;1468000000;-309000000;1159000000;-600000000;559000000;;217000000;217000000
AA;367153;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;186000000;189000000;13403000000;-10053000000;3350000000;-1012000000;-248000000;-31000000;-733000000;2338000000;-186000000;-122000000;2152000000;-527000000;1625000000;-732000000;893000000;;250000000;250000000
AA;367153;USD;2019;FY;2019-12-31;2020-02-21;2021-02-25;185000000;185000000;10433000000;-8537000000;1896000000;-1020000000;-280000000;-27000000;-713000000;876000000;-283000000;-121000000;593000000;-1031000000;-438000000;-415000000;-853000000;;-1125000000;-1125000000
AAC_delist;939324;USD;2016;FY;2016-12-31;2017-03-07;2019-04-15;22718117;22718117;279770000;-165519000;114251000;-127968000;-18275000;;-17686000;-13717000;-7675000;-8175000;-21392000;-2633000;-24025000;-2345000;-26370000;;-21218000;-21218000
AAL;68568;USD;2015;FY;2015-12-31;2016-02-24;2017-02-22;668393000;687355000;40990000000;-26603000000;14387000000;-8183000000;-1394000000;;-1364000000;6204000000;-1588000000;-841000000;4616000000;;4616000000;2994000000;7610000000;;7610000000;7610000000
AAL;68568;USD;2016;FY;2016-12-31;2017-02-22;2017-02-22;552308000;556099000;40180000000;-26814000000;13366000000;-8082000000;-1323000000;;-1525000000;5284000000;-985000000;-928000000;4299000000;;4299000000;-1623000000;2676000000;;2676000000;2676000000
AAL;68568;USD;2017;FY;2017-12-31;2018-02-21;2019-02-25;489164000;491692000;42622000000;-29590000000;13032000000;-8801000000;-1477000000;;-1702000000;4231000000;-836000000;-959000000;3395000000;;3395000000;-2113000000;1282000000;;1282000000;1282000000
AAL;68568;USD;2018;FY;2018-12-31;2019-02-25;2021-02-17;464236000;465660000;44541000000;-20400000000;24141000000;-21485000000;-1520000000;;-1839000000;2656000000;-772000000;-938000000;1884000000;;1884000000;-472000000;1412000000;;1412000000;1412000000
AAL;68568;USD;2019;FY;2019-12-31;2020-02-19;2021-02-17;443363000;444269000;45768000000;-20788000000;24980000000;-21915000000;-1602000000;;-1982000000;3065000000;-809000000;-968000000;2256000000;;2256000000;-570000000;1686000000;;1686000000;1686000000
AAMC;847094;USD;2015;FY;2015-12-31;2016-02-29;2018-03-01;2202815;2202815;248099000;;;-105006000;-7583000;;-7472000;143093000;-53131000;-53131000;89962000;-138496000;-48534000;-354000;-48888000;;-3290000;-3496000
AAMC;847094;USD;2016;FY;2016-12-31;2017-03-01;2018-03-01;1752302;1752302;19991000;;;-24314000;-4772000;;0;-4323000;1094000;0;-3229000;0;-3229000;-1706000;-4935000;;-4935000;-5142000
AAMC;847094;USD;2017;FY;2017-12-31;2018-03-01;2018-03-01;1570428;1570428;18160000;;;-25507000;-3320000;;0;-7347000;1086000;0;-6261000;0;-6261000;-708000;-6969000;;-6969000;-7175000
AAMC;847094;USD;2018;FY;2018-12-31;2019-04-30;2019-04-30;1611424;1611424;15926000;;;-22534000;-3609000;;;-6608000;-3893000;;-10501000;;-10501000;-375000;-10876000;;-10876000;-11082000
AAMC;847094;USD;2019;FY;2019-12-31;2020-04-29;2021-03-03;1589952;1589952;;;;-17145000;-2334000;;;-17145000;6753000;;-10392000;;-10392000;-165000;-10557000;7944000;-2613000;-2819000
AAN;441241;USD;2015;FY;2015-12-31;2016-02-29;2017-02-24;72568000;73043000;3179756000;-1585461000;1594295000;-1358354000;;;;235941000;-22821000;-21154000;213120000;0;213120000;-77411000;135709000;;135709000;135709000
AAN;441241;USD;2016;FY;2016-12-31;2017-02-24;2017-02-24;72354000;73013000;3207716000;-1599483000;1608233000;-1345339000;;;;262894000;-24254000;-20691000;238640000;-20218000;218422000;-79139000;139283000;;139283000;139283000
AAN;441241;USD;2017;FY;2017-12-31;2018-03-01;2019-02-14;70837000;72121000;3383708000;-1707565000;1676143000;-1403450000;;;;272693000;-15122000;-18703000;257571000;-17994000;239577000;52959000;292536000;;292536000;292536000
AAN;441241;USD;2018;FY;2018-12-31;2019-02-14;2021-02-23;69128000;70597000;1794716000;-708154000;1086562000;-913870000;-482712000;;;172692000;-17306000;-16440000;155386000;-91818000;63568000;-12915000;50653000;;50653000;50653000
AAN;441241;USD;2019;FY;2019-12-31;2020-04-27;2021-02-23;67322000;68631000;1784477000;-672461000;1112016000;-926767000;-499993000;;;185249000;-13086000;-16967000;172163000;-137893000;34270000;-6171000;28099000;;28099000;28099000
AAOI;671827;USD;2015;FY;2015-12-31;2016-03-14;2018-02-28;15626753;16532850;189903000;-129450000;60453000;-47004000;-26152000;-20852000;;13449000;-2281000;-690000;11168000;;11168000;-375000;10793000;;10793000;10793000
AAOI;671827;USD;2016;FY;2016-12-31;2017-03-09;2018-02-28;17201731;17712928;260713000;-173759000;86954000;-63934000;-32154000;-31780000;;23020000;-2017000;-1470000;21003000;;21003000;10231000;31234000;;31234000;31234000
AAOI;671827;USD;2017;FY;2017-12-31;2018-02-28;2018-02-28;19097355;20139105;382329000;-216049000;166280000;-79329000;-43964000;-35365000;;86951000;-2425000;-637000;84526000;;84526000;-10575000;73951000;;73951000;73951000
AAOI;671827;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;19647000;19647000;267465000;-179692000;87773000;-98541000;-48638000;-49903000;;-10768000;990000;-824000;-9778000;;-9778000;7632000;-2146000;;-2146000;-2146000
AAOI;671827;USD;2019;FY;2019-12-31;2020-02-28;2021-02-25;19982363;19982363;190872000;-144671000;46201000;-94948000;-51549000;-43399000;;-48747000;-2640000;-4480000;-51387000;;-51387000;-14662000;-66049000;;-66049000;-66049000
AAON;919501;USD;2015;FY;2015-12-31;2016-02-25;2018-02-27;54045841;54481484;358632000;-249951000;108681000;-37438000;-37438000;;;71243000;37000;161000;71280000;59000;71339000;-25611000;45728000;;45728000;45728000
AAON;919501;USD;2016;FY;2016-12-31;2017-02-23;2019-02-28;52924398;53449754;383977000;-265897000;118080000;-38506000;-38506000;;;79574000;397000;292000;79971000;20000;79991000;-26615000;53376000;;53376000;53376000
AAON;919501;USD;2017;FY;2017-12-31;2018-02-27;2019-02-28;52572496;53078734;405232000;-281835000;123397000;-49249000;-49249000;;;74148000;389000;298000;74537000;-45000;74492000;-19994000;54498000;;54498000;54498000
AAON;919501;USD;2018;FY;2018-12-31;2019-02-28;2021-02-25;52284616;52667939;433947000;-330414000;103533000;-48194000;-48194000;;;55339000;149000;196000;55488000;12000;55500000;-13171000;42329000;;42329000;42329000
AAON;919501;USD;2019;FY;2019-12-31;2020-02-27;2021-02-25;52079865;52635415;469333000;-349908000;119425000;-52077000;-52077000;;;67348000;20000;66000;67368000;-337000;67031000;-13320000;53711000;;53711000;53711000
AAP;184955;USD;2015;FY;2015-12-31;2016-03-01;2018-02-21;73190000;73733000;9737018000;-5314246000;4422772000;-3596992000;-3596992000;;;825780000;-72892000;-65408000;752888000;;752888000;-279490000;473398000;;473398000;473398000
AAP;184955;USD;2016;FY;2016-12-31;2017-02-28;2019-02-19;73562000;73856000;9567679000;-5311764000;4255915000;-3468317000;-3468317000;;;787598000;-48763000;-59910000;738835000;;738835000;-279213000;459622000;;459622000;459622000
AAP;184955;USD;2017;FY;2017-12-31;2018-02-21;2020-02-18;73846000;74110000;9373784000;-5288735000;4085049000;-3514837000;-3514837000;;;570212000;-49953000;-58801000;520259000;;520259000;-44754000;475505000;;475505000;475505000
AAP;184955;USD;2018;FY;2018-12-31;2019-02-19;2021-02-22;73728000;73991000;9580554000;-5361141000;4219413000;-3615138000;-3615138000;;;604275000;-49011000;-56588000;555264000;;555264000;-131417000;423847000;;423847000;423847000
AAP;184955;USD;2019;FY;2019-12-31;2020-02-18;2021-02-22;70869000;71165000;9709003000;-5454257000;4254746000;-3577566000;-3577566000;;;677180000;-28678000;-39898000;648502000;-10756000;637746000;-150850000;486896000;;486896000;486896000
AAPL;111052;USD;2016;FY;2016-09-30;2016-10-26;2018-11-05;21883280000;22001124000;215639000000;-131376000000;84263000000;-24239000000;-14194000000;-10045000000;;60024000000;1348000000;;61372000000;;61372000000;-15685000000;45687000000;;45687000000;45687000000
AAPL;111052;USD;2017;FY;2017-09-30;2017-11-03;2019-10-31;20868968000;21006768000;229234000000;-141048000000;88186000000;-26842000000;-15261000000;-11581000000;;61344000000;2745000000;;64089000000;;64089000000;-15738000000;48351000000;;48351000000;48351000000
AAPL;111052;USD;2018;FY;2018-09-30;2018-11-05;2020-10-30;19821508000;20000436000;265595000000;-163756000000;101839000000;-30941000000;-16705000000;-14236000000;;70898000000;2005000000;;72903000000;;72903000000;-13372000000;59531000000;;59531000000;59531000000
AAPL;111052;USD;2019;FY;2019-09-30;2019-10-31;2021-10-29;18471336000;18595652000;260174000000;-161782000000;98392000000;-34462000000;-18245000000;-16217000000;;63930000000;1807000000;;65737000000;;65737000000;-10481000000;55256000000;;55256000000;55256000000
AAPL;111052;USD;2020;FY;2020-09-30;2020-10-30;2021-10-29;17352119000;17528214000;274515000000;-169559000000;104956000000;-38668000000;-19916000000;-18752000000;;66288000000;803000000;;67091000000;;67091000000;-9680000000;57411000000;;57411000000;57411000000
AAWW;762204;USD;2015;FY;2015-12-31;2016-02-18;2018-02-22;24833000;25018000;1822659000;-887099000;935560000;-465568000;;;-128740000;469992000;-84436000;-84202000;385556000;-402776000;-17220000;24506000;7286000;0;7286000;7286000
AAWW;762204;USD;2016;FY;2016-12-31;2017-02-23;2019-02-19;24843000;25120000;1839627000;-905551000;934076000;-419357000;;;-148876000;514719000;-75875000;-79118000;438844000;-349428000;89416000;-46791000;42625000;-1109000;41516000;41516000
AAWW;762204;USD;2017;FY;2017-12-31;2018-02-22;2019-02-19;25241000;25854000;2156460000;-1062797000;1093663000;-480055000;;;-166713000;613608000;-85902000;-93678000;527706000;-384334000;143372000;80966000;224338000;-865000;223473000;223473000
AAWW;762204;USD;2018;FY;2018-12-31;2019-02-19;2021-02-18;25542000;28281000;2677724000;-1362989000;1314735000;-741824000;;;-217340000;572911000;-97282000;-112668000;475629000;-166255000;309374000;-38727000;270647000;-80000;270567000;270567000
AAWW;762204;USD;2019;FY;2019-12-31;2020-04-28;2021-02-18;25828000;25828000;2739189000;-1465339000;1273850000;-811468000;;;-251097000;462382000;-86092000;-116034000;376290000;-849048000;-472758000;179645000;-293113000;;-293113000;-293113000
ABAX;36105;USD;2015;FY;2016-03-31;2016-07-29;2018-05-30;22661000;22883000;218901000;-95649000;123252000;-76898000;-58510000;-18388000;;46354000;793000;;47147000;;47147000;-16073000;31074000;556000;31630000;31630000
ABAX;36105;USD;2016;FY;2017-03-31;2017-07-28;2018-05-30;22515000;22797000;227220000;-101375000;125845000;-81358000;-61563000;-19795000;;44487000;6625000;;51112000;;51112000;-18333000;32779000;-63000;32716000;32716000
ABAX;36105;USD;2017;FY;2018-03-31;2018-07-30;2018-07-30;22672000;23135000;244700000;-111091000;133609000;-94954000;-71622000;-23332000;;38655000;4745000;;43400000;;43400000;-16223000;27177000;0;27177000;27177000
ABBV;61199;USD;2015;FY;2015-12-31;2016-02-19;2018-02-16;1625000000;1637000000;22859000000;-4500000000;18359000000;-10672000000;-6387000000;-4285000000;;7687000000;-892000000;-686000000;6795000000;-150000000;6645000000;-1501000000;5144000000;;5144000000;5144000000
ABBV;61199;USD;2016;FY;2016-12-31;2017-02-17;2018-02-16;1622000000;1631000000;25638000000;-5833000000;19805000000;-10221000000;-5855000000;-4366000000;;9584000000;-1500000000;-965000000;8084000000;-200000000;7884000000;-1931000000;5953000000;;5953000000;5953000000
ABBV;61199;USD;2017;FY;2017-12-31;2018-02-16;2019-02-27;1596000000;1603000000;28216000000;-7042000000;21174000000;-11302000000;-6295000000;-5007000000;;9872000000;-1818000000;-1004000000;8054000000;-327000000;7727000000;-2418000000;5309000000;;5309000000;5309000000
ABBV;61199;USD;2018;FY;2018-12-31;2019-02-27;2021-02-19;1541000000;1546000000;32753000000;-7718000000;25035000000;-18228000000;-7399000000;-10329000000;;6807000000;-1186000000;-1144000000;5621000000;-424000000;5197000000;490000000;5687000000;;5687000000;5687000000
ABBV;61199;USD;2019;FY;2019-12-31;2020-02-21;2021-02-19;1481000000;1484000000;33266000000;-7439000000;25827000000;-12459000000;-6942000000;-6407000000;;13368000000;-4557000000;-1509000000;8811000000;-385000000;8426000000;-544000000;7882000000;;7882000000;7882000000
ABC;187024;USD;2016;FY;2016-09-30;2016-11-22;2018-11-20;212206000;225959000;146849686000;-142577080000;4272606000;-2596314000;-2091237000;;-364735000;1676292000;-134864000;-139912000;1541428000;-150518000;1390910000;37019000;1427929000;;1427929000;1427929000
ABC;187024;USD;2017;FY;2017-09-30;2017-11-21;2018-11-20;218375000;221602000;153143826000;-148597824000;4546002000;-2526333000;-2128730000;;-397603000;2019669000;-142455000;-145185000;1877214000;-959327000;917887000;-553403000;364484000;;364484000;364484000
ABC;187024;USD;2018;FY;2018-09-30;2018-11-20;2020-11-19;217872000;220336000;167939635000;-163327318000;4612317000;-2925428000;-2460301000;;-465127000;1686889000;-200168000;-174699000;1486721000;-309298000;1177423000;438469000;1615892000;;1658405000;1658405000
ABC;187024;USD;2019;FY;2019-09-30;2019-11-19;2021-11-23;210165000;211840000;179589121000;-174450809000;5138312000;-3125915000;-2663508000;;-462407000;2012397000;-144817000;-157769000;1867580000;-900474000;967106000;-112971000;854135000;;855365000;855365000
ABC;187024;USD;2020;FY;2020-09-30;2020-11-19;2021-11-23;204783000;204783000;189893926000;-184702042000;5191884000;-3158279000;-2767217000;;-391062000;2033605000;-136302000;-137883000;1897303000;-7191134000;-5293831000;1894273000;-3399558000;;-3408716000;-3408716000
ABCD;358762;USD;2015;FY;2015-12-31;2016-03-03;2017-03-14;45550000;45550000;144920000;-48700000;96220000;-78978000;-64186000;-10924000;-3868000;17242000;-13302000;-13981000;3940000;-5072000;-1132000;-193000;-1325000;;-1325000;-1325000
ABCD;358762;USD;2016;FY;2016-12-31;2017-03-14;2017-03-14;45861000;47217000;152358000;-48264000;104094000;-84571000;-68300000;-12865000;-3406000;19523000;-7190000;-7190000;12333000;-1610000;10723000;-293000;10430000;;10430000;10430000
ABCD;358762;USD;2017;FY;2017-12-31;2018-03-07;2018-03-07;46416000;47594000;158184000;-45534000;112650000;-86538000;-70090000;-13651000;-2797000;26112000;-4845000;-4845000;21267000;-5510000;15757000;29298000;45055000;;45055000;45055000
ABCL;1250893;USD;2019;FY;2019-12-31;2020-03-29;2021-03-30;151856754;191268368;11612000;;;-15729000;-4012000;-10113000;-1604000;-4117000;1906000;155000;-2211000;;-2211000;;-2211000;;-2211000;-2211000
ABEO;953884;USD;2018;FY;2018-12-31;2019-03-18;2020-03-16;47528248;47528248;2998000;;;-61164000;-20106000;-38698000;-2360000;-58166000;1495000;1495000;-56671000;;-56671000;;-56671000;;-56671000;-56671000
ABEO;953884;USD;2019;FY;2019-12-31;2020-03-16;2021-03-24;50354596;50354596;;;;-77090000;-20705000;-48566000;-7819000;-77090000;808000;808000;-76282000;;-76282000;;-76282000;;-76282000;-76282000
ABG;545489;USD;2015;FY;2015-12-31;2016-02-19;2017-02-23;26300000;26400000;6588300000;-5527500000;1060800000;-759200000;-729900000;;-29500000;301600000;-63100000;-63100000;238500000;34900000;273400000;-104000000;169400000;-200000;169200000;169200000
ABG;545489;USD;2016;FY;2016-12-31;2017-02-23;2019-02-28;22500000;22600000;6527800000;-5469100000;1058700000;-760900000;-732500000;;-30700000;297800000;-75500000;-75500000;222300000;45500000;267800000;-100600000;167200000;;167200000;167200000
ABG;545489;USD;2017;FY;2017-12-31;2018-02-27;2019-02-28;20800000;21000000;6456500000;-5400600000;1055900000;-768200000;-729700000;;-32100000;287700000;-78600000;-78600000;209100000;0;209100000;-70000000;139100000;;139100000;139100000
ABG;545489;USD;2018;FY;2018-12-31;2019-02-28;2021-03-01;20100000;20300000;6874400000;-5771400000;1103000000;-792100000;-755800000;;-33700000;310900000;-86100000;-86100000;224800000;;224800000;-56800000;168000000;;168000000;168000000
ABG;545489;USD;2019;FY;2019-12-31;2020-03-02;2021-03-01;19100000;19300000;7210300000;-6041400000;1168900000;-843900000;-799800000;;-36200000;325000000;-92800000;-92800000;232200000;11700000;243900000;-59500000;184400000;;184400000;184400000
ABIO;953886;USD;2015;FY;2015-12-31;2016-03-17;2017-03-21;349685;349685;;;;-11455000;-4392000;-7063000;;-11455000;10000;10000;-11445000;;-11445000;;-11445000;;-11445000;-11445000
ABIO;953886;USD;2016;FY;2016-12-31;2017-03-21;2018-03-22;504150;504150;;;;-16613000;-4265000;-12348000;;-16613000;169000;169000;-16444000;;-16444000;;-16444000;;-16444000;-16444000
ABIO;953886;USD;2017;FY;2017-12-31;2018-03-22;2019-02-27;579985;579985;;;;-18712000;-4636000;-14076000;;-18712000;161000;161000;-18551000;;-18551000;61000;-18490000;;-18490000;-18490000
ABIO;953886;USD;2018;FY;2018-12-31;2019-02-27;2020-02-18;769392;769392;;;;-8118000;-3879000;-4239000;;-8118000;154000;154000;-7964000;;-7964000;31000;-7933000;;-7933000;-7933000
ABIO;953886;USD;2019;FY;2019-12-31;2020-02-18;2021-03-18;1321234;1321234;;;;-5814000;-3981000;-1833000;;-5814000;165000;165000;-5649000;;-5649000;167000;-5482000;;-5482000;-5482000
ABMC;160965;USD;2015;FY;2015-12-31;2016-03-30;2017-03-31;25676976;25676976;6317000;-3462000;2855000;-2868000;-2720000;-148000;;-13000;-318000;-420000;-331000;;-331000;-2000;-333000;;-333000;-333000
ABMC;160965;USD;2016;FY;2016-12-31;2017-03-31;2018-04-12;27463265;27463265;5609000;-3119000;2490000;-2747000;-2563000;-184000;;-257000;-84000;-284000;-341000;;-341000;-4000;-345000;;-345000;-345000
ABMC;160965;USD;2017;FY;2017-12-31;2018-04-12;2018-04-12;29211454;29211454;4914000;-2917000;1997000;-2308000;-2191000;-117000;;-311000;-234000;-272000;-545000;;-545000;0;-545000;;-545000;-545000
ABMC;160965;USD;2018;FY;2018-12-31;2019-04-16;2019-04-16;30115063;30115063;3872000;-2584000;1288000;-2050000;-1957000;-93000;;-762000;-266000;-285000;-1028000;;-1028000;-2000;-1030000;;-1030000;-1030000
ABMC;160965;USD;2019;FY;2019-12-31;2020-07-24;2021-04-15;32526669;32526669;3655000;-2471000;1184000;-1777000;-1695000;-82000;;-593000;-93000;-265000;-686000;;-686000;5000;-681000;;-681000;-681000
ABMD;445587;USD;2015;FY;2016-03-31;2016-05-26;2018-05-24;42204000;44895000;329543000;-50419000;279124000;-214020000;-164261000;-49759000;;65104000;734000;;65838000;;65838000;-27691000;38147000;;38147000;38147000
ABMD;445587;USD;2016;FY;2017-03-31;2017-05-25;2018-05-24;43238000;44658000;445304000;-70627000;374677000;-284539000;-218153000;-66386000;;90138000;1205000;;91343000;;91343000;-39227000;52116000;;52116000;52116000
ABMD;445587;USD;2017;FY;2018-03-31;2018-05-24;2018-05-24;44153000;45849000;593749000;-98581000;495168000;-338031000;-262734000;-75297000;;157137000;3300000;;160437000;;160437000;-48267000;112170000;;112170000;112170000
ABMD;445587;USD;2018;FY;2019-03-31;2019-05-23;2021-05-21;44911000;46151000;769432000;-129567000;639865000;-415053000;-321550000;-93503000;;224812000;38548000;;263360000;;263360000;-4344000;259016000;;259016000;259016000
ABMD;445587;USD;2019;FY;2020-03-31;2020-05-21;2021-05-21;45179000;45816000;840883000;-151305000;689578000;-440359000;-341600000;-98759000;;249219000;7606000;;256825000;;256825000;-53816000;203009000;;203009000;203009000
ABNB;1214552;USD;2019;FY;2019-12-31;2020-02-26;2021-02-26;262509000;262509000;4805239000;-1196313000;3608926000;-4110469000;-2318700000;-976695000;;-501543000;89840000;75934000;-411703000;;-411703000;-262636000;-674339000;;-674339000;-674339000
ABT;63877;USD;2015;FY;2015-12-31;2016-02-19;2018-02-16;1496000000;1506000000;20405000000;-8747000000;11658000000;-8791000000;-6785000000;-1405000000;-601000000;2867000000;316000000;-58000000;3183000000;;3183000000;-577000000;2606000000;1817000000;4423000000;4423000000
ABT;63877;USD;2016;FY;2016-12-31;2017-02-17;2018-02-16;1477000000;1483000000;20853000000;-9024000000;11829000000;-8644000000;-6672000000;-1422000000;-550000000;3185000000;-1772000000;-332000000;1413000000;;1413000000;-350000000;1063000000;337000000;1400000000;1400000000
ABT;63877;USD;2017;FY;2017-12-31;2018-02-16;2019-02-22;1740000000;1749000000;27390000000;-12409000000;14981000000;-13417000000;-9182000000;-2260000000;-1975000000;1564000000;667000000;-780000000;2231000000;;2231000000;-1878000000;353000000;124000000;477000000;477000000
ABT;63877;USD;2018;FY;2018-12-31;2019-02-22;2021-02-19;1758000000;1770000000;30578000000;-12706000000;17872000000;-14222000000;-9744000000;-2300000000;-2178000000;3650000000;-610000000;-721000000;3040000000;-167000000;2873000000;-539000000;2334000000;34000000;2368000000;2368000000
ABT;63877;USD;2019;FY;2019-12-31;2020-02-21;2021-02-19;1768000000;1781000000;31904000000;-13231000000;18673000000;-14141000000;-9765000000;-2440000000;-1936000000;4532000000;-392000000;-576000000;4140000000;-63000000;4077000000;-390000000;3687000000;;3687000000;3687000000
ABTL;445589;USD;2015;FY;2015-12-31;2016-03-10;2018-03-15;9907066;12662324;133226000;-81586000;51640000;-43991000;-29145000;;-3106000;7649000;322000;;7971000;108000;8079000;-3433000;4646000;;4646000;4646000
ABTL;445589;USD;2016;FY;2016-12-31;2017-03-09;2018-03-15;10673015;13303209;156684000;-98771000;57913000;-51835000;-32781000;;-5068000;6078000;558000;;6636000;50000;6686000;-2815000;3871000;;3871000;3871000
ABTL;445589;USD;2017;FY;2017-12-31;2018-03-15;2018-03-15;11852539;11852539;142125000;-99352000;42773000;-43773000;-26425000;;-4781000;-1000000;-946000;;-1946000;-37579000;-39525000;-25439000;-64964000;;-64964000;-64964000
ABTL;445589;USD;2018;FY;2018-12-31;2019-03-11;2021-03-11;12756191;12756191;125589000;-110329000;15260000;-47231000;-28496000;;-4897000;-31971000;250000;-106000;-31721000;-7101000;-38822000;6000;-38816000;;-38816000;-38816000
ABTL;445589;USD;2019;FY;2019-12-31;2020-03-27;2021-03-11;13070898;13070898;113981000;-91412000;22569000;-37907000;-24687000;;-4371000;-15338000;119000;-410000;-15219000;;-15219000;-10000;-15229000;;-15229000;-15229000
ABUS;953888;USD;2015;FY;2015-12-31;2016-03-09;2018-03-16;45462324;45462324;23276000;;;-78532000;-26438000;-51505000;-589000;-55256000;22445000;674000;-32811000;-46092000;-78903000;16185000;-62718000;;-62718000;-62718000
ABUS;953888;USD;2016;FY;2016-12-31;2017-03-22;2018-03-16;53074401;53074401;1491000;;;-101783000;-39438000;-61253000;-1092000;-100292000;2511000;1391000;-97781000;-391385000;-489166000;105002000;-384164000;;-384164000;-384164000
ABUS;953888;USD;2017;FY;2017-12-31;2018-03-16;2019-03-07;54723272;54723272;10700000;;;-80832000;-16129000;-62676000;-2027000;-70132000;3578000;1277000;-66554000;-42179000;-108733000;24320000;-84413000;;-84413000;-85324000
ABUS;953888;USD;2018;FY;2018-12-31;2019-03-07;2020-03-05;55304083;55304083;5945000;;;-76117000;-16002000;-57934000;-2181000;-70172000;1818000;2821000;-68354000;7012000;-61342000;4282000;-57060000;;-57060000;-67151000
ABUS;953888;USD;2019;FY;2019-12-31;2020-03-05;2021-03-04;57093454;57093454;6011000;;;-77356000;-17727000;-57601000;-2028000;-71345000;44000;3000;-71301000;-95078000;-166379000;12656000;-153723000;;-153723000;-164872000
AC;919941;USD;2015;FY;2015-12-31;2016-02-05;2018-03-09;24887000;25170000;22842000;;;-37463000;-26343000;;;-14621000;3460000;3460000;-11161000;8585000;-2576000;1685000;-891000;;-111000;-111000
AC;919941;USD;2016;FY;2016-12-31;2017-03-14;2018-03-09;24870000;25175000;31227000;;;-41866000;-30968000;;;-10639000;12079000;12079000;1440000;12905000;14345000;-3876000;10469000;;10218000;10218000
AC;919941;USD;2017;FY;2017-12-31;2018-03-09;2019-03-08;23792000;23639000;26915000;;;-46588000;-36523000;;;-19673000;10274000;10274000;-9399000;15663000;6264000;2420000;8684000;;8837000;8837000
AC;919941;USD;2018;FY;2018-12-31;2019-03-08;2019-03-08;23070000;22585000;22779000;;;-36259000;-26607000;;;-13480000;13122000;13122000;-358000;-68503000;-68861000;11478000;-57383000;;-58099000;-58099000
AC;919941;USD;2019;FY;2019-12-31;2020-03-16;2021-03-24;22475000;22475000;22205000;;;-29752000;-23810000;;;-7547000;12998000;12998000;5451000;51772000;57223000;-12627000;44596000;-1890000;39188000;39188000
ACA;919864;USD;2017;FY;2017-12-31;2018-02-14;2019-02-28;48800000;48800000;1462400000;-1167700000;294700000;-163000000;-163000000;;;131700000;-1600000;0;130100000;0;130100000;-40400000;89700000;;89700000;89700000
ACA;919864;USD;2018;FY;2018-12-31;2019-02-02;2021-02-25;48800000;48900000;1460400000;-1188400000;272000000;-153900000;-153900000;;;118100000;100000;-900000;118200000;-23200000;95000000;-19300000;75700000;;75700000;75700000
ACA;919864;USD;2019;FY;2019-12-31;2020-02-27;2021-02-25;47900000;48400000;1736900000;-1404500000;332400000;-179500000;-179500000;;;152900000;-6100000;-6800000;146800000;;146800000;-33500000;113300000;;113300000;113300000
ACAD;445591;USD;2015;FY;2015-12-31;2016-02-29;2018-02-27;100630000;100630000;61000;;;-164673000;-88304000;-73869000;;-164612000;499000;499000;-164113000;;-164113000;-330000;-164443000;;-164443000;-164443000
